region,latitude,longitude,elevation,slope,aspect,soil_type,soil_moisture,vegetation_cover,precipitation,previous_cloudburst,temperature_celsius,humidity,wind_speed_kph,deforestation,urbanization,mining_activity,land_use,proximity_to_river,proximity_to_fault_line,landslide_occurred
Uttarakhand,30.0468684,78.13879386,4922.080024,4.479867232,115.3819734,Loam,57.78837156,65.65482912,176.8957387,0,28.76074397,92.76501218,21.43129007,0,67.35392581,1,Barren,1.153508926,0.639641973,0
Uttarakhand,30.0849638,80.929757,2193.858605,8.065230829,343.8187855,Loam,37.78120561,81.13133281,117.6365847,0,34.02853657,90.14225092,39.21408586,0,93.21631396,0,Barren,4.275345404,16.66119716,0
Uttarakhand,29.53876646,79.34091812,5534.402032,13.58195405,82.68252968,Clay,44.74883665,37.71041961,225.1960292,0,20.73824601,92.85001237,14.7793694,1,19.92309059,0,Agriculture,8.30540497,11.13986095,0
Sikkim,27.70477287,88.50619476,5170.557022,25.43638715,7.427515291,Loam,50.72900991,88.08434405,513.8212516,0,13.90881962,57.47112458,63.05405364,0,96.58847238,0,Forest,6.625431295,10.31804764,0
Karnataka,14.78806233,74.3122762,2079.443113,60.90357834,101.3919853,Loam,104.1271431,96.41742279,222.8046364,0,27.26292903,24.09872542,27.0092336,0,14.95215134,0,Urban,2.806522484,17.41938482,0
Meghalaya,25.90419116,91.32758025,1506.413547,41.54467361,83.50986363,Sand,49.25808699,45.21251005,193.9839976,0,19.21869722,29.93573828,93.4865393,1,30.93088408,1,Barren,6.938433148,15.29189485,0
Karnataka,14.07864806,77.33443986,2287.138585,16.67755483,0.358887168,Silt,107.4767568,39.61601341,7.601635946,0,30.17832186,76.18427103,69.7464791,0,5.556113822,0,Forest,4.87344693,1.167536764,0
Maharashtra,15.62567686,74.53791344,3643.298696,44.7737913,278.2690744,Loam,53.57990318,19.9005977,13.33446483,0,32.70107409,44.73996088,90.96621832,0,34.73173141,0,Forest,5.85599283,4.074786711,0
Maharashtra,17.96712645,72.68988074,4964.097675,39.87558955,239.9555682,Clay,26.0514347,93.40690941,272.293447,0,32.07729367,72.67173638,48.70116433,0,76.8719802,0,Agriculture,9.273262857,8.471435084,0
Himachal Pradesh,32.75609722,78.26017733,4197.671975,54.62830294,321.9345901,Sand,62.80121185,99.50203823,61.71298726,0,24.68893616,77.36901403,99.37680092,0,46.14242364,1,Barren,7.884100402,12.09107814,0
Arunachal Pradesh,26.68322743,92.41897482,1515.215323,44.40228372,154.447226,Clay,0,79.8847295,329.5109425,0,29.69264282,24.6503222,94.95927594,0,76.93584993,1,Barren,1.893479898,14.90018809,0
Maharashtra,19.69843796,74.51724003,391.4753994,7.919035595,92.48436042,Silt,74.63709343,53.0670519,362.6712051,0,23.26803145,84.69638806,1.512803427,0,8.542318823,1,Urban,2.71546031,4.018234462,0
Kerala,10.56372609,74.96272324,5102.193118,9.290073701,189.9706518,Clay,70.77234793,88.57105419,231.5823128,0,18.2357986,88.39380892,40.77062636,1,42.34255045,0,Agriculture,8.474052238,9.112232452,0
Uttarakhand,29.6976191,80.80633662,2567.961823,25.73094412,142.8309379,Clay,6.272057661,60.85292267,384.8859429,0,24.16597404,59.22558179,81.44805917,0,75.58721141,0,Forest,2.31712303,4.41329275,0
Maharashtra,17.33446985,73.62136513,2791.527405,34.31326023,300.4358882,Silt,52.0820163,24.88346775,38.4612939,0,28.62658761,48.14892153,3.818863144,1,94.93950717,0,Agriculture,2.24706974,17.36619694,0
Tamil Nadu,10.46093571,77.28983326,639.0497125,39.68901023,182.0297946,Loam,97.12623553,44.23990985,286.2443293,0,21.42153213,94.31817558,17.56355695,1,77.62150129,1,Agriculture,8.76619472,15.28807886,1
Sikkim,27.3376805,88.2294157,1645.5913,52.82580344,222.7032082,Clay,25.97827421,29.69144482,591.6527504,0,11.74969504,29.70599756,21.87036991,0,74.8201707,1,Agriculture,0.914464448,10.38226622,0
Arunachal Pradesh,26.25792138,95.82947078,4623.055011,40.2069873,172.2051782,Clay,41.29610362,67.45183986,279.3566437,0,19.01013377,59.71813725,21.97391686,0,61.90818012,0,Agriculture,3.266856021,3.858658983,0
Jammu & Kashmir,33.37251121,76.58311979,382.0314798,69.49211532,33.48889296,Loam,67.36363935,49.59330464,365.9927517,0,30.53966265,26.0328316,10.69640243,1,42.67521861,0,Barren,5.159272454,14.11003647,0
Himachal Pradesh,32.13410363,77.41282067,1688.351294,12.02961258,45.87629141,Silt,39.40021141,53.0249241,291.496251,0,24.90384329,45.2468681,58.67659199,0,33.97364013,0,Forest,0.670447958,4.777965144,0
Uttarakhand,30.47551792,78.89106544,1451.033931,23.46597819,117.642897,Loam,86.96306617,37.01731562,494.0454171,0,18.22756983,46.39713288,51.05320744,1,78.64670592,0,Forest,3.923011638,11.59435838,0
Himachal Pradesh,31.4987239,78.72942916,5446.795592,10.51884394,254.483115,Loam,95.09935904,41.29228072,590.338436,0,21.31021685,39.98562248,3.607772298,0,87.79091403,0,Barren,6.076485118,7.66626056,0
Arunachal Pradesh,26.44678372,91.62881446,2467.992472,39.18870874,219.4405604,Clay,9.593803172,48.85435855,549.2544533,0,22.20772155,98.07954122,69.20133207,1,29.48533617,0,Barren,1.891367077,2.898918858,0
Odisha,21.8620536,83.81146488,3970.380318,23.09327551,320.3904137,Silt,49.01580357,25.75606275,414.4908809,0,20.51937008,30.99291372,50.32331267,1,95.78109935,0,Forest,8.590055392,4.92049412,0
Jammu & Kashmir,33.41380236,74.94870597,5122.442479,65.64951902,130.5893425,Silt,89.84402037,38.02075756,154.9297162,0,22.65626717,86.65468093,23.63182972,1,89.0824098,0,Urban,7.592663368,18.99581243,0
Meghalaya,25.59331462,90.92198675,3248.830416,36.90786082,32.06524664,Loam,33.73400071,13.1498892,127.4447198,0,16.79026817,37.06939779,49.63027911,0,58.36976766,0,Barren,6.54527428,14.99353896,0
Jammu & Kashmir,33.73460842,77.35024995,2866.369414,3.60173627,257.3375445,Sand,48.99997261,54.73365936,379.8738178,0,20.77795426,25.74052163,42.02917843,0,71.86399481,0,Agriculture,5.865181346,5.177643041,0
Uttarakhand,31.44800439,79.51069391,3915.27088,3.052690169,90.07795925,Loam,84.41934937,81.69364846,528.4286243,0,26.93519732,36.21928422,86.71576989,0,94.15372604,0,Barren,8.400371651,17.45023252,0
Jammu & Kashmir,32.14707934,76.82181938,5126.381903,33.59747991,86.64143565,Sand,28.35490911,33.08670474,529.9596077,0,26.67633207,33.72580397,19.55784846,0,65.05632025,0,Forest,1.634058639,17.44417885,0
Odisha,20.5084274,84.70274713,1457.528902,18.15797849,357.1222458,Loam,19.25292386,51.15142466,317.915567,0,18.98447457,82.35995215,54.72411272,0,48.75593926,0,Barren,0.643296354,4.406971857,0
Arunachal Pradesh,28.25281074,95.71719947,860.0001867,47.84577153,136.1159858,Silt,77.63620463,8.963028671,369.5331412,0,34.45878396,77.46134868,15.28647731,0,44.38987643,0,Barren,4.11937534,3.557103454,1
Himachal Pradesh,32.29570853,77.61155159,1204.983061,28.62481469,94.70676074,Sand,41.24833406,60.64939406,160.2035004,0,15.34223391,80.3874978,13.77411624,0,95.63009062,0,Urban,7.932092431,18.72594995,0
Kerala,10.79549855,75.32629304,3698.555096,32.39396253,16.00738542,Silt,55.5058248,92.18738484,290.2615347,0,26.85904096,83.13024662,37.31272046,0,83.10667014,0,Urban,5.255819663,0.209489208,0
Odisha,20.13062209,82.75175553,3223.397279,7.94974352,281.8738925,Sand,66.00450348,19.4417302,466.2468257,0,29.35051977,58.62115233,93.74581978,1,6.046607097,0,Forest,8.276037793,0.979753925,0
Odisha,21.56520578,84.59940469,2655.091756,12.46219475,302.3479242,Loam,92.85058301,71.64320081,240.9325942,1,23.27801522,32.52451416,77.76712383,0,89.81416647,0,Agriculture,2.525781219,11.77758535,0
Maharashtra,18.9380446,75.04977313,3170.194685,49.59209111,274.5078301,Clay,7.435017422,13.85135854,17.39723452,0,20.14542555,24.42816637,79.81246253,0,86.34972768,0,Agriculture,0.533142547,0,0
Meghalaya,26.41315571,89.89362442,2127.757362,5.618561267,346.9985199,Clay,59.02499425,90.97098455,94.53214965,0,17.30376044,89.34671823,32.99500722,0,70.79399901,0,Forest,1.908636722,11.6666223,0
Arunachal Pradesh,27.47192673,93.18705093,2515.754357,27.50671152,101.2800562,Sand,107.3030545,74.82303803,416.3682491,0,23.13442998,85.31544282,92.48346356,0,72.53971003,1,Agriculture,1.993489306,6.232877958,0
Kerala,12.34397892,77.05637596,3671.006877,40.15738297,306.5641256,Loam,77.91229586,35.72891297,57.92951701,0,25.55075062,50.9631067,30.79878764,0,35.84086293,0,Agriculture,9.326106804,1.446550026,0
Jammu & Kashmir,32.62710062,77.21589846,2149.637873,21.59657763,202.6782736,Sand,26.80896871,76.90188049,540.4625839,1,30.0659479,38.81041572,6.91984631,0,49.63702572,1,Barren,8.941400122,13.15304844,0
Jammu & Kashmir,33.69485157,74.4205796,4546.149632,13.12433762,100.139424,Silt,108.2746681,37.67865154,195.0688161,0,14.2555813,84.32667917,62.41159951,1,49.45154413,0,Barren,8.328703586,7.720749639,0
Sikkim,27.40552038,88.07829289,3700.93184,5.105515731,37.81370002,Loam,54.02395494,62.4863388,523.0114784,0,23.18607625,50.31377546,98.27333244,0,82.46205229,0,Barren,4.013596779,14.5820331,0
Uttarakhand,30.39147065,80.4781701,1109.272764,33.64448541,89.82677121,Clay,94.52182865,0.289292643,341.390091,0,22.90612745,90.90632318,27.91954242,0,25.87187606,0,Barren,2.344068044,2.931897302,0
Odisha,20.66715761,84.37573929,4227.058936,18.06103674,2.0248166,Loam,12.58214134,57.9829913,558.5409503,0,17.93113483,77.18457661,62.17780985,1,37.51145175,0,Agriculture,5.25750451,17.32495311,0
Odisha,19.50245171,84.38220469,4240.316309,56.8852333,121.6237894,Silt,74.10882921,19.6886045,536.365845,0,24.74691184,35.65941097,34.07218807,0,21.60631047,0,Barren,2.409232366,2.146245916,0
Karnataka,15.07283798,74.74631051,939.8770545,45.67812587,290.1995786,Sand,98.93719768,86.30708429,333.5427273,0,21.58501029,30.42687943,69.55225496,0,65.40384702,0,Barren,0,17.96683685,0
Karnataka,12.77872859,75.00783608,1868.607045,12.63858622,230.3105694,Sand,77.6196859,2.066440208,579.5691265,0,34.4649063,21.72743985,79.45982934,0,96.15121138,0,Urban,8.633873926,0.118778657,0
Maharashtra,18.25473179,75.95787972,3647.452134,30.84764125,334.3382136,Silt,41.96954359,91.4798486,60.6034704,0,23.67323439,86.24680231,82.26388001,0,51.76757996,0,Forest,6.713893305,4.937885735,0
Tamil Nadu,12.04486282,77.28155235,1826.537652,61.42555252,30.40815506,Clay,74.75578114,26.27810495,308.5847824,0,15.14423718,41.36041245,20.67772378,0,68.44943397,0,Barren,1.470251613,2.635002987,0
Maharashtra,17.50845168,74.29355498,2449.19643,61.83434746,110.8004319,Silt,12.30152763,71.38472564,272.4186669,0,11.89247634,95.09420276,0.914648994,0,27.73510027,1,Urban,5.13492804,0,0
Jammu & Kashmir,34.69605419,75.94553971,3976.517489,0,88.35278004,Loam,33.52646108,23.58644822,179.089496,0,14.14640545,24.43305917,38.70939861,0,61.43307515,0,Urban,0,13.72152821,0
Meghalaya,25.83245067,90.31755891,409.1274764,72.47270218,132.9878452,Silt,96.42134864,46.0504326,66.70420605,0,25.85800388,38.16309346,2.774221371,0,20.00790154,0,Agriculture,3.67812352,2.507172029,0
Jammu & Kashmir,33.93064296,75.78745475,2821.90387,10.10539954,54.98718174,Loam,77.67325126,61.52128503,271.4750755,0,11.29986268,97.60125381,87.26191753,1,85.29478717,1,Barren,5.647030046,2.808725159,0
Meghalaya,25.04632281,90.71728238,2535.144366,55.02835727,91.09515209,Sand,77.57873108,97.12269981,366.752984,0,24.45745298,92.63313696,26.53315545,0,0.426865587,1,Urban,8.647509012,19.71862125,0
Maharashtra,15.91138813,72.98158715,4315.062596,28.0917517,216.9850527,Sand,27.8333434,85.15545584,56.47853706,0,29.59136771,83.02405821,69.55465313,1,11.73718853,1,Barren,1.799561449,20.44934933,0
Karnataka,11.89515389,75.23610721,1966.170387,25.08802944,239.9878099,Sand,51.12732507,33.56298661,161.3178474,0,23.3568942,41.63489524,92.83664676,0,91.26046479,0,Barren,5.360088619,18.46963004,0
Kerala,9.06668909,75.16757151,4181.182198,57.18214442,251.6692877,Clay,19.34890226,64.72041874,387.5808561,0,34.75362286,68.66765128,65.572357,0,0.991970464,0,Agriculture,3.339252024,0,0
Karnataka,13.77941496,76.61187423,1215.502423,31.29591796,259.6201867,Clay,79.95105247,1.142804582,485.3329894,0,31.66016511,86.34502821,80.47776926,0,66.54843962,1,Forest,8.561728911,11.14523521,0
Maharashtra,15.79154365,72.6402083,1436.679684,13.46012227,315.4041395,Clay,60.43825825,33.12065671,564.1052204,0,13.73505564,20.32773554,35.73705739,0,54.01617711,0,Urban,5.931592915,1.926618349,0
Arunachal Pradesh,28.49255567,95.68203947,5340.300724,32.79576649,325.1560849,Loam,68.95186828,22.89580627,407.9293168,0,23.30543263,87.04922118,44.22333928,0,44.74043849,0,Barren,1.224717821,4.697803556,0
Meghalaya,25.78563534,91.27466027,2180.944536,60.72236266,17.92881267,Loam,91.45226325,60.37685997,6.133756635,0,24.22063127,31.06738491,4.769067907,1,13.74105224,0,Agriculture,0.062736508,15.21986006,0
Himachal Pradesh,32.37070825,77.632274,2502.320862,20.9509328,303.0382095,Loam,60.60625873,93.96835988,96.70175918,0,34.07188111,48.94929266,87.88926927,0,21.04182344,0,Forest,5.612021916,6.763942831,0
Kerala,12.17783785,76.48438058,1633.776395,26.04612491,272.5444299,Silt,28.11810906,48.89088131,424.8258198,0,29.75490851,91.76251283,69.97505164,1,82.21366135,1,Urban,5.984863237,0,0
Kerala,11.36301333,75.13545133,3061.859231,19.66320441,51.83674279,Sand,80.17255205,50.50676235,506.9766325,0,20.2814065,82.55912848,75.48514826,1,96.83892649,0,Barren,0.733121128,10.35916006,0
Tamil Nadu,9.458612171,79.32721652,2364.973318,1.907468763,352.5376331,Sand,74.15144843,59.75685703,239.4537223,0,15.12558772,50.08070604,20.25160919,1,76.23842601,0,Urban,2.182543428,16.78724731,0
Odisha,21.7476488,83.79192178,1963.08714,64.48559653,326.0674357,Clay,0,70.00480748,248.6960161,0,33.72153554,57.67277407,38.80535241,0,84.32312673,0,Urban,2.605445577,1.469152415,0
Odisha,19.31551384,85.11272581,3838.495374,61.63680097,113.0400152,Loam,76.32487022,42.10405295,279.3223953,1,19.55416831,90.03009915,67.32777018,0,25.03478517,0,Barren,2.268889237,17.56533593,0
Maharashtra,18.75451647,73.49034084,5444.275132,58.87020697,268.978853,Sand,16.70023167,99.81563611,1.257246025,1,13.67909431,28.51304234,52.13591639,0,42.44792069,1,Agriculture,6.178348184,7.439156027,0
Uttarakhand,30.22562579,78.03432759,3673.818451,27.65510703,58.11088976,Silt,73.97104256,6.205404088,149.6183168,0,25.5038109,82.92814721,48.95238919,0,4.6029545,0,Barren,0.926585732,20.82319783,0
Tamil Nadu,11.74420004,77.44530996,1579.166433,23.84557253,165.3968674,Sand,10.65630196,16.3470407,24.10656772,0,29.96094996,63.51564286,63.03214404,0,30.6016614,1,Agriculture,9.754254255,8.08701454,0
Jammu & Kashmir,32.76854788,74.20171797,2928.100045,19.78127073,234.2080771,Clay,99.66153354,78.79102973,126.723104,0,22.15134653,30.83346428,91.50961123,1,89.80379514,0,Barren,5.791739832,3.276487369,0
Maharashtra,16.46800246,73.48845693,1998.465982,59.89991984,128.4365241,Clay,39.80066961,46.73780224,247.1332132,0,30.46374677,28.98340099,51.19920837,0,47.8422853,0,Urban,0.969651978,3.526503482,0
Maharashtra,17.3907497,74.12390603,35.87549833,22.22906674,70.9516899,Clay,70.20958661,98.81759568,481.7341108,0,25.6035369,49.1211871,93.28493618,1,66.21678805,0,Forest,2.374614573,9.032531864,0
Odisha,20.82838971,85.33865981,5838.972486,70.10482809,305.0146836,Silt,30.39727346,41.1751097,125.6944267,0,33.72534867,39.54895301,31.85574207,1,45.87280642,1,Barren,3.410226967,16.47297109,0
